x: -0.001, y: -0.028, h: -0.001, tx: 0.000, ty: -0.188, time: 1.959425
x: -0.001, y: -0.028, h: -0.001, tx: 0.000, ty: -0.190, time: 1.980061
x: -0.002, y: -0.029, h: -0.005, tx: 0.000, ty: -0.192, time: 2.000202
x: -0.001, y: -0.029, h: -0.007, tx: 0.000, ty: -0.194, time: 2.020839
x: -0.002, y: -0.029, h: -0.009, tx: 0.000, ty: -0.196, time: 2.041892
x: -0.001, y: -0.029, h: -0.007, tx: 0.000, ty: -0.198, time: 2.062206
x: -0.001, y: -0.029, h: -0.009, tx: 0.000, ty: -0.200, time: 2.083222
x: -0.001, y: -0.029, h: -0.005, tx: 0.000, ty: -0.202, time: 2.104367
x: -0.001, y: -0.030, h: -0.004, tx: 0.000, ty: -0.204, time: 2.125198
x: -0.001, y: -0.030, h: -0.006, tx: 0.000, ty: -0.206, time: 2.146041
x: -0.001, y: -0.030, h: -0.004, tx: 0.000, ty: -0.208, time: 2.166689
x: -0.001, y: -0.031, h: -0.007, tx: 0.000, ty: -0.210, time: 2.187489
x: -0.001, y: -0.030, h: -0.009, tx: 0.000, ty: -0.212, time: 2.208292
x: -0.001, y: -0.031, h: -0.009, tx: 0.000, ty: -0.214, time: 2.228934
x: -0.001, y: -0.030, h: -0.007, tx: 0.000, ty: -0.216, time: 2.249587
x: -0.001, y: -0.030, h: -0.008, tx: 0.000, ty: -0.218, time: 2.270070
x: -0.002, y: -0.030, h: -0.010, tx: 0.000, ty: -0.220, time: 2.291059
x: -0.001, y: -0.030, h: -0.007, tx: 0.000, ty: -0.222, time: 2.311567
x: -0.002, y: -0.030, h: -0.008, tx: 0.000, ty: -0.224, time: 2.332213
x: -0.001, y: -0.030, h: -0.003, tx: 0.000, ty: -0.226, time: 2.353022
x: -0.001, y: -0.031, h: -0.003, tx: 0.000, ty: -0.228, time: 2.374029
x: -0.001, y: -0.031, h: -0.005, tx: 0.000, ty: -0.230, time: 2.395175
x: -0.001, y: -0.031, h: -0.009, tx: 0.000, ty: -0.232, time: 2.415365
x: -0.001, y: -0.031, h: -0.007, tx: 0.000, ty: -0.234, time: 2.436187
x: -0.001, y: -0.031, h: -0.009, tx: 0.000, ty: -0.236, time: 2.457180
x: -0.001, y: -0.031, h: -0.009, tx: 0.000, ty: -0.238, time: 2.478341
x: -0.001, y: -0.031, h: -0.009, tx: 0.000, ty: -0.240, time: 2.498989
x: -0.002, y: -0.031, h: -0.012, tx: 0.000, ty: -0.242, time: 2.519138
x: -0.001, y: -0.031, h: -0.007, tx: 0.000, ty: -0.244, time: 2.539794
x: -0.002, y: -0.031, h: -0.005, tx: 0.000, ty: -0.246, time: 2.560697
x: -0.001, y: -0.031, h: 0.003, tx: 0.000, ty: -0.248, time: 2.581019
x: -0.002, y: -0.031, h: 0.001, tx: -0.000, ty: -0.250, time: 2.602352
x: -0.002, y: -0.032, h: -0.004, tx: -0.005, ty: -0.250, time: 2.624330
x: -0.002, y: -0.032, h: -0.003, tx: -0.009, ty: -0.250, time: 2.646310
x: -0.002, y: -0.032, h: -0.006, tx: -0.013, ty: -0.250, time: 2.667777
x: -0.002, y: -0.033, h: -0.007, tx: -0.017, ty: -0.250, time: 2.688927
x: -0.002, y: -0.033, h: -0.011, tx: -0.021, ty: -0.250, time: 2.710092
x: -0.002, y: -0.034, h: -0.011, tx: -0.025, ty: -0.250, time: 2.730903
x: -0.002, y: -0.034, h: -0.007, tx: -0.029, ty: -0.250, time: 2.752052
x: -0.002, y: -0.034, h: -0.004, tx: -0.033, ty: -0.250, time: 2.773018
x: -0.001, y: -0.035, h: 0.000, tx: -0.037, ty: -0.250, time: 2.794024
x: -0.001, y: -0.035, h: 0.007, tx: -0.041, ty: -0.250, time: 2.815167
x: -0.002, y: -0.035, h: 0.010, tx: -0.045, ty: -0.250, time: 2.836305
x: -0.003, y: -0.035, h: 0.008, tx: -0.049, ty: -0.250, time: 2.856619
x: -0.004, y: -0.036, h: -0.003, tx: -0.053, ty: -0.250, time: 2.877426
x: 0.004, y: -0.169, h: 2.444, tx: -0.328, ty: -0.250, time: 4.303664
x: 0.012, y: -0.171, h: 2.480, tx: -0.332, ty: -0.250, time: 4.326729
x: 0.019, y: -0.165, h: 2.481, tx: -0.336, ty: -0.250, time: 4.347887
x: 0.024, y: -0.159, h: 2.464, tx: -0.340, ty: -0.250, time: 4.369025
x: 0.028, y: -0.158, h: 2.441, tx: -0.344, ty: -0.250, time: 4.390185
x: 0.033, y: -0.155, h: 2.408, tx: -0.348, ty: -0.250, time: 4.411193
x: 0.040, y: -0.154, h: 2.367, tx: -0.352, ty: -0.250, time: 4.432328
x: 0.047, y: -0.152, h: 2.313, tx: -0.356, ty: -0.250, time: 4.452969
x: 0.053, y: -0.148, h: 2.240, tx: -0.360, ty: -0.250, time: 4.473643
